traceId,segmentId,spanId,parentSpanId,parentSegmentId,serviceCode,serviceInstanceName,startTime,endTime,endpointName,type,peer,component,isError,layer,dbAccess,childs
1b02a6ae47274522a96755dab06f2178.93275.16866400571690001,1b02a6ae47274522a96755dab06f2178.93275.16866400571690000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686640057169,1686640057170,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
3a350140f70d43d180e614b681bef751.93212.16866399242980001,3a350140f70d43d180e614b681bef751.93212.16866399242980000,0,-1,,ts-notification-service,f0c0a21b3e524f60a5cab60d1e6c2622@10.244.1.197,1686639924298,1686639924298,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93280.16866400680370001,1b02a6ae47274522a96755dab06f2178.93280.16866400680370000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686640068037,1686640068037,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
747d75e755b94946895f9b6d730ba0b0.93552.16866399404520001,747d75e755b94946895f9b6d730ba0b0.93552.16866399404520000,0,-1,,ts-consign-service,f20382d9246449d1b5ce97722fac1b4c@10.244.3.53,1686639940452,1686639940452,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f9eede474f3e40dc87876c9cb9d0b01a.94140.16866401883420001,f9eede474f3e40dc87876c9cb9d0b01a.94140.16866401883420000,0,-1,,ts-user-service,5853520222004d2c9ac74a11292103a5@10.244.5.51,1686640188342,1686640188342,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93303.16866401555910001,1b02a6ae47274522a96755dab06f2178.93303.16866401555910000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686640155591,1686640155592,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
c0a7557266594a23b7d5b92d0151ebf4.92770.16866401359680001,c0a7557266594a23b7d5b92d0151ebf4.92770.16866401359680000,0,-1,,ts-payment-service,9268bc8743c64a6f9af3b8bd4fd829a5@10.244.6.47,1686640135968,1686640135969,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93554.16866400471360001,72695f0de8a94c618f784ff6f222707c.93554.16866400471360000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640047136,1686640047136,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93597.16866402214630001,72695f0de8a94c618f784ff6f222707c.93597.16866402214630000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640221463,1686640221463,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fdd08f4ae2e0408188e4d509b8a0d791.93840.16866400370480001,fdd08f4ae2e0408188e4d509b8a0d791.93840.16866400370480000,0,-1,,ts-config-service,8d15a172b50547a4b6506500bc0f5eef@10.244.3.48,1686640037048,1686640037049,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
2a52452116e84ee787cced7ab6cc8c8c.93520.16866399876440001,2a52452116e84ee787cced7ab6cc8c8c.93520.16866399876440000,0,-1,,ts-security-service,4f99540c2d7e4998aa88963da6d82a4b@10.244.1.189,1686639987644,1686639987644,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
e5428f414f7b4b5cbb205cc39109dca5.94059.16866399437840001,e5428f414f7b4b5cbb205cc39109dca5.94059.16866399437840000,0,-1,,ts-assurance-service,d92c3ce93c2f40a6b71f232b6573f6e3@10.244.5.46,1686639943784,1686639943784,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
4372c2e56ede46648391f6087354fcd7.94073.16866401912230001,4372c2e56ede46648391f6087354fcd7.94073.16866401912230000,0,-1,,ts-consign-price-service,90bdcb2e574340369b6cbb095e8a2f4d@10.244.5.52,1686640191223,1686640191223,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1a3ad94d8ff14d429316f5cb8689ec87.93416.16866401118430001,1a3ad94d8ff14d429316f5cb8689ec87.93416.16866401118430000,0,-1,,ts-wait-order-service,5d46f0b5297e4387bfb7c106890f4abd@10.244.6.40,1686640111843,1686640111844,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
2a52452116e84ee787cced7ab6cc8c8c.93520.16866399905070003,2a52452116e84ee787cced7ab6cc8c8c.93520.16866399905070002,0,-1,,ts-security-service,4f99540c2d7e4998aa88963da6d82a4b@10.244.1.189,1686639990507,1686639990508,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
2a52452116e84ee787cced7ab6cc8c8c.93571.16866402017940001,2a52452116e84ee787cced7ab6cc8c8c.93571.16866402017940000,0,-1,,ts-security-service,4f99540c2d7e4998aa88963da6d82a4b@10.244.1.189,1686640201794,1686640201795,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
e5428f414f7b4b5cbb205cc39109dca5.94079.16866400259350001,e5428f414f7b4b5cbb205cc39109dca5.94079.16866400259350000,0,-1,,ts-assurance-service,d92c3ce93c2f40a6b71f232b6573f6e3@10.244.5.46,1686640025935,1686640025935,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f9eede474f3e40dc87876c9cb9d0b01a.94108.16866400529080001,f9eede474f3e40dc87876c9cb9d0b01a.94108.16866400529080000,0,-1,,ts-user-service,5853520222004d2c9ac74a11292103a5@10.244.5.51,1686640052908,1686640052909,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
fa8e86c5fab843fda610ecce8e408a87.93726.16866401060810001,fa8e86c5fab843fda610ecce8e408a87.93726.16866401060810000,0,-1,,ts-train-food-service,240dcf8a3044478dbf57d24d6e1c8e47@10.244.5.50,1686640106081,1686640106082,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93248.16866399403000001,1b02a6ae47274522a96755dab06f2178.93248.16866399403000000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686639940300,1686639940301,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
72695f0de8a94c618f784ff6f222707c.93592.16866402028210001,72695f0de8a94c618f784ff6f222707c.93592.16866402028210000,0,-1,,ts-order-other-service,7c89f3f10fdb46b89e591c23b0341ab2@10.244.3.56,1686640202821,1686640202821,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
90565c160ceb4df0b1dad0910f80861e.92828.16866401584130001,90565c160ceb4df0b1dad0910f80861e.92828.16866401584130000,0,-1,,ts-food-delivery-service,40ead85bfe66491684974f22e9c88fd1@10.244.6.42,1686640158413,1686640158413,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
90565c160ceb4df0b1dad0910f80861e.92773.16866399314320001,90565c160ceb4df0b1dad0910f80861e.92773.16866399314320000,0,-1,,ts-food-delivery-service,40ead85bfe66491684974f22e9c88fd1@10.244.6.42,1686639931432,1686639931432,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
2a52452116e84ee787cced7ab6cc8c8c.93575.16866402083030001,2a52452116e84ee787cced7ab6cc8c8c.93575.16866402083030000,0,-1,,ts-security-service,4f99540c2d7e4998aa88963da6d82a4b@10.244.1.189,1686640208303,1686640208304,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
56d6e651867b46bc8720379ffd55b2b3.92937.16866401317310003,56d6e651867b46bc8720379ffd55b2b3.92937.16866401317310002,0,-1,,ts-price-service,7494e65f4c8d44dcbd2de806f895c8f5@10.244.2.214,1686640131731,1686640131732,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
56d6e651867b46bc8720379ffd55b2b3.92927.16866400862020001,56d6e651867b46bc8720379ffd55b2b3.92927.16866400862020000,0,-1,,ts-price-service,7494e65f4c8d44dcbd2de806f895c8f5@10.244.2.214,1686640086202,1686640086202,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b8c996c81e547e7a6b5f0aedd212b94.93093.16866400623260001,1b8c996c81e547e7a6b5f0aedd212b94.93093.16866400623260000,0,-1,,ts-auth-service,e74f3fd927414c7e8db552c64cea2a0a@10.244.6.39,1686640062326,1686640062327,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
90565c160ceb4df0b1dad0910f80861e.92841.16866402129910001,90565c160ceb4df0b1dad0910f80861e.92841.16866402129910000,0,-1,,ts-food-delivery-service,40ead85bfe66491684974f22e9c88fd1@10.244.6.42,1686640212991,1686640212992,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f9eede474f3e40dc87876c9cb9d0b01a.94100.16866400276100001,f9eede474f3e40dc87876c9cb9d0b01a.94100.16866400276100000,0,-1,,ts-user-service,5853520222004d2c9ac74a11292103a5@10.244.5.51,1686640027610,1686640027610,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b8c996c81e547e7a6b5f0aedd212b94.93056.16866399041590001,1b8c996c81e547e7a6b5f0aedd212b94.93056.16866399041590000,0,-1,,ts-auth-service,e74f3fd927414c7e8db552c64cea2a0a@10.244.6.39,1686639904159,1686639904159,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
0f2869c837d74bdaa14004ac19a594b1.92545.16866400021590001,0f2869c837d74bdaa14004ac19a594b1.92545.16866400021590000,0,-1,,ts-station-food-service,21c343d83c0b45ea9732acdb7f2c0dbc@10.244.2.228,1686640002159,1686640002159,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93291.16866401129080001,1b02a6ae47274522a96755dab06f2178.93291.16866401129080000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686640112908,1686640112909,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
926a64d5923044039fef38ac43c5a84c.92552.16866398339370001,926a64d5923044039fef38ac43c5a84c.92552.16866398339370000,0,-1,,ts-train-service,c8630c37339742b6b7caae60b68b0a8e@10.244.1.199,1686639833937,1686639833937,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93323.16866402449530001,1b02a6ae47274522a96755dab06f2178.93323.16866402449530000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686640244953,1686640244953,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
f827a305dcfd4e889eb688163a4ad170.92945.16866399301390001,f827a305dcfd4e889eb688163a4ad170.92945.16866399301390000,0,-1,,ts-order-service,a78bf2a612574a9e8c8b42f149893960@10.244.6.45,1686639930139,1686639930139,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
3a350140f70d43d180e614b681bef751.93291.16866402556620001,3a350140f70d43d180e614b681bef751.93291.16866402556620000,0,-1,,ts-notification-service,f0c0a21b3e524f60a5cab60d1e6c2622@10.244.1.197,1686640255662,1686640255662,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
747d75e755b94946895f9b6d730ba0b0.93539.16866398858140001,747d75e755b94946895f9b6d730ba0b0.93539.16866398858140000,0,-1,,ts-consign-service,f20382d9246449d1b5ce97722fac1b4c@10.244.3.53,1686639885814,1686639885815,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
e5428f414f7b4b5cbb205cc39109dca5.94127.16866402294040001,e5428f414f7b4b5cbb205cc39109dca5.94127.16866402294040000,0,-1,,ts-assurance-service,d92c3ce93c2f40a6b71f232b6573f6e3@10.244.5.46,1686640229404,1686640229404,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
1b02a6ae47274522a96755dab06f2178.93194.16866397033460001,1b02a6ae47274522a96755dab06f2178.93194.16866397033460000,0,-1,,ts-travel-service,566052650f6646868e32168243308357@10.244.3.55,1686639703346,1686639703347,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
8fc8aaf23c6249febb15e69a9ca83f02.93737.16866402228210001,8fc8aaf23c6249febb15e69a9ca83f02.93737.16866402228210000,0,-1,,ts-inside-payment-service,4e892e652cc94cfda250672548373b9e@10.244.5.45,1686640222821,1686640222822,Mysql/JDBI/Connection/close,Exit,tsdb-mysql-leader:3306,mysql-connector-java,false,Database,,
